,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125
0,14389,12541,13507,11958,13203,12556,14361,13349,14385,13182,14552,13283,14038,12440,12774,11383,11165,11444,11980,11679,12449,12253,13297,11934,12760,10882,11693,12273,11290,11742,12487,11522,13158,13313,12184,12675,12119,11265,12634,12185,11389,12413,11407,11371,12636,11655,11009,11909,10333,11168,12268,11460,11686,12810,11671,13108,13636,12592,13349,12238,12942,13313,12267,13270,11565,13107,11983,11317,11066,10243,11406,10213,11392,10474,12051,12632,12000,12947,11242,12576,11229,10923,10535,10463,11696,10678,11791,10084,11130,10503,9574,10255,9039,10730,9810,10521,10223,10922,11961,10979,12329,10862,12418,11639,11025,11589,11292,13365,12632,13374,11894,12288,12192,10907,11739,9932,11411,10436,10348,10450,10436,11725,10477,11395,9739
0,10192,11535,11202,11749,11183,12840,11945,12669,12065,12706,11919,12143,12449,12477,11796,11113,11737,11259,10878,10655,11080,11622,10867,11551,10364,11738,11401,10312,11088,10447,10141,11645,11096,10509,11705,10532,10908,12130,11149,10661,11505,9906,10749,11520,10466,10577,11156,9680,11161,11021,10074,11169,10181,10886,12006,11056,11330,11934,11217,12959,12060,11898,11992,10900,12210,11068,11054,11248,10572,11987,10808,10671,10212,9429,10735,9685,10618,10225,10865,12037,10879,11621,10732,11131,11936,10602,11369,10270,11265,11699,10771,11748,9967,11456,10683,10690,11297,11211,12884,11773,12540,11104,11825,11845,10836,11943,10566,12229,11217,10690,10194,9218,10103,8619,9347,7973,8920,8409,6619,6438,3563,3840,1752,829,518
0,10185,8646,9274,7089,7253,6367,6678,6219,6536,6817,6854,6353,6154,6498,6725,6464,6681,7242,7067,6622,6500,6674,7309,6089,6287,6499,5123,6408,6800,5958,6571,7080,5958,7282,7418,6188,6351,6592,5152,6415,6880,6034,6601,7496,6470,7985,8749,7884,8134,8719,7125,8092,8471,7340,7464,8193,6703,8010,7673,6833,7569,6366,7990,6916,7247,6575,6795,7393,6076,7038,5268,6660,6193,5835,6496,5668,7395,6432,7233,6576,7327,7827,6789,7887,6297,7911,7126,6747,6871,6038,7218,5812,6724,5755,7105,7801,7406,8695,7209,8821,7915,7869,7898,7612,8835,7665,8780,7544,8949,8975,8336,9401,8220,10077,9241,9650,9399,9574,10511,9235,10213,8497,9768,9438,8811
0,8673,10589,9961,11261,10310,12189,11196,12038,10788,12589,11445,12388,10971,12719,11338,12298,10765,12203,10801,11815,10125,11395,10368,11583,10612,12044,12187,11197,11049,11862,10550,9922,10979,11117,10168,9991,11093,10646,10053,11369,12154,11524,11178,12044,11909,10713,11479,12154,11236,10315,10690,10846,9391,9915,11017,10622,9871,10334,11211,9951,10220,11519,11399,10495,10574,11509,10280,10074,11314,11405,10438,10259,11177,10279,9636,10816,11329,10600,10367,11371,11140,10327,11485,12330,11685,11127,11798,11861,10491,11106,12013,11389,10545,10897,11382,9854,10015,10991,10474,9342,9302,10027,8666,8561,9868,10023,9224,9252,10278,9368,8926,10294,10906,10306,10262,11418,11124,10246,11169,11552,10431,9567,10015,9812,8477
0,15500,16511,15628,15227,16615,17128,16322,16459,17442,16033,16183,17408,16988,16233,17055,17205,16043,16902,17711,16909,15987,16300,16404,14768,15458,16149,15315,14961,16000,15551,14940,16257,16762,15851,15574,16584,16254,15643,16968,17809,17192,16797,17623,17593,16349,17051,17809,16999,16013,16233,16352,14721,15010,16035,15673,14923,15339,16246,14993,15163,16386,16204,15217,15226,16150,15028,14853,16318,16660,15923,16080,17153,16154,15873,17056,17168,16171,15838,16593,15672,14715,15649,16011,15061,14522,15255,15053,13920,14834,15751,15207,14695,15508,16109,15000,15705,16864,16455,15599,15806,16370,14826,14870,16040,15849,14860,14846,15741,14556,14227,15394,15471,14455,14180,15067,14336,13701,14974,15650,15013,14801,15797,15664,14620,15532
0,16396,15774,16774,15663,16325,15801,16637,15381,16071,15611,16314,15494,15867,15995,16706,16067,16257,16933,15812,16426,15101,16489,15815,15875,15301,14477,15813,15444,14620,15711,15506,15222,16898,16748,15881,16656,16171,15397,16822,16668,15802,16665,16642,15962,17483,17394,16350,16889,16700,15644,17027,17095,16162,16785,16932,15827,17123,17090,15853,16126,15422,15415,16420,15437,16791,15397,16903,16560,15870,16435,15036,16395,15074,15413,14882,15275,16176,15053,16218,14669,16257,16137,15807,16615,15520,16958,15592,15924,15059,15650,16153,14997,16039,14338,15916,15433,15243,15663,14778,15941,14364,14846,13694,14600,15215,14496,15822,14385,16100,15411,15123,15279,14530,15835,14532,15260,13825,14626,14509,13438,14368,12854,14539,13673,13636
0,7961,8014,7045,6993,7933,6725,6678,8141,8072,7303,7728,8408,6924,7350,8430,7911,7079,7814,8072,6848,7674,8695,8055,7421,8433,7678,6997,8403,8704,7814,7655,8647,7898,7281,8435,8897,7847,7486,8357,7642,6915,8107,8703,7934,7528,8314,7967,6774,7623,8315,7500,6800,7417,7657,6360,7039,8140,7698,6944,7414,8193,6942,7365,8716,8603,7769,7960,8861,7528,7279,8398,8326,7216,6893,7632,6550,5883,6985,7302,6411,6140,7084,6674,5839,6989,7746,7010,6455,7152,7163,5911,6715,7765,7309,6703,7336,7942,6594,7003,8079,7606,6561,6647,7374,6019,6081,7415,7476,6645,6721,7739,6670,6217,7364,7562,6662,6539,7706,7375,6962,8522,9534,9114,8987,10104
0,9198,7997,9022,8005,9823,8930,10129,8604,9901,8319,9395,8316,9867,8670,9298,8409,9989,9121,10611,9308,11064,9652,10439,8792,8890,10069,9662,8675,8802,9631,8330,8354,9646,9656,8752,8736,9721,8735,8379,9714,10120,9316,9113,10099,9573,8732,9809,10376,9554,9073,9855,9785,8693,9665,10673,10182,9649,10404,11100,10041,10798,12108,11786,10844,10942,11268,9435,9190,10073,9379,8389,8696,9591,8469,8900,10451,10625,9949,10171,11225,10120,9770,10940,11066,10058,9731,10536,9715,8913,10050,10560,9763,9405,10321,10171,9193,10271,11237,10692,10126,10839,11297,10095,10711,11642,10956,9886,9972,10456,8916,9021,10238,10127,9312,9501,10540,9438,9333,10749,11065,10289,10237,11289,10600,10026
0,8474,7680,8098,8548,7112,7663,8806,8347,7932,9005,8986,8304,9780,10344,9546,9757,11025,9938,10172,11415,11117,9838,9539,9911,7901,8271,9290,8851,8278,8958,9486,8276,8969,9939,9285,8374,8714,9323,8018,8424,9649,9381,8471,8561,9341,7988,7845,9048,9085,8218,8247,9375,8677,8401,9826,10404,9698,9427,10229,9646,8484,9307,9754,8784,8023,8526,8404,7023,7633,8441,7767,6965,7389,7888,6543,7046,8351,8169,7416,7770,8816,7692,7851,9279,9473,8745,8826,9912,9123,8872,10325,10948,10392,10400,11617,11492,10913,12163,12921,12177,11516,12016,11686,10174,10644,11121,10062,8935,9067,9192,7604,7918,8989,8676,7917,8246,9167,7988,8170,9567,9709,8997,9184,10320,9461
0,9014,10836,9597,10401,9267,9000,7836,7515,8029,6688,7350,6506,8931,8568,9752,8112,9450,8067,9013,8092,10237,9123,10101,8449,9447,10290,9693,9234,9951,9836,8491,9211,10062,9385,8740,9420,10020,8955,9729,11060,10853,10170,10532,11316,9962,10051,11257,11114,10207,10320,11372,10413,10279,11696,12025,11194,11039,11986,11327,10646,11798,12256,11310,10682,11218,10803,9520,10313,11117,10479,9889,10530,10923,9612,10189,11237,10709,9831,10142,10842,9578,9960,11360,11338,10593,10846,11911,10915,10975,12442,12748,12007,11963,12854,11926,11165,12143,12361,11315,10815,11615,11331,10373,11486,12419,11872,11377,12044,12258,10919,11510,12536,12037,11237,11691,12600,11526,12040,13584,13651,12953,13136,14034,12766,12467
0,11187,10650,9877,10256,10688,9154,9923,10942,10373,10001,11036,10539,9971,11362,11469,10461,10449,11342,10230,10050,11357,11539,10681,10752,11613,10206,10771,11971,11559,10786,11157,11730,10331,10708,11770,11132,10260,10625,11045,9799,10417,11665,11433,10775,11191,12051,10810,10990,12307,12284,11491,11609,12553,11442,11180,12412,12534,11537,11227,12014,11212,10428,11678,11911,11040,10829,11789,11283,10607,11773,12383,11574,11003,11579,11328,9992,10637,11377,10653,9852,10288,10757,9481,9986,11127,10761,9870,10023,10699,9309,9283,10489,10423,9538,9569,10551,9595,9332,10668,10973,10117,9877,10738,10075,9262,10350,10902,10118,9708,10582,10635,9686,10677,11610,10973,10204,10604,10876,9431,9811,10781,10223,9191,9241,9817
0,13637,11929,12365,10759,11755,10480,11182,10201,11986,11127,12246,11040,12578,12016,11498,12372,11055,12746,11937,12169,11244,11587,12318,11069,11907,9962,11263,10828,10364,11430,10483,12302,11663,11341,12112,11041,12737,12071,11786,12477,11416,13049,12243,11830,12243,11047,12471,11485,11164,11412,10246,11691,10750,10560,10895,9985,11492,10550,10522,10887,10093,11780,10956,11079,11358,10994,12601,11671,12638,11771,12763,13094,12221,13268,11852,13476,12667,12406,12356,11918,13258,12284,13359,12246,13358,13400,12365,13082,11399,12776,11676,11416,11325,11026,12317,11186,12017,10503,11351,11128,10145,10955,9522,11087,10159,10259,10269,10620,12121,11355,12851,12053,13875,14551,14647,16459,16255,19027,19229,20383,21061,21901,23707,23305,24814
0,9974,8967,9801,8529,10336,9030,9511,7607,8781,7302,8034,6564,8198,7512,8519,9431,8731,9583,9031,10406,9125,9636,7739,8677,7592,6790,7818,6788,7574,8902,8100,7928,8830,7405,8430,9211,8296,8417,8754,7212,8311,8355,7291,7891,7918,7148,8653,8438,7620,8559,7941,7821,9211,8490,7793,8628,7197,7511,8608,7600,8828,7777,9450,9551,9002,9646,8238,9441,8003,7974,7373,7648,8622,7674,8830,7381,8901,8525,8077,8804,7975,9643,8673,9263,8602,9039,9482,8095,8717,6823,8076,7415,6960,7376,6574,8028,6912,7512,6604,7229,7526,6268,6993,5250,6666,5976,5624,5841,5264,6562,5238,5820,4560,5317,5636,4977,6346,5222,6985,6182,5938,5872,5587,7042,6066
0,7280,5591,7224,6204,7333,6131,8125,7233,8412,7259,9143,7917,8602,6948,8470,8099,7333,8479,8007,7442,6693,7170,7201,6511,7204,5740,7116,7441,6663,7724,7413,7376,8784,7944,7563,8488,7024,8171,8462,7234,7597,6946,6270,7783,7382,7247,8670,7640,8855,9585,8441,8647,8490,7456,8769,8114,7561,8373,7048,8584,7495,7531,7137,7070,7813,6328,7077,5618,7460,6998,7302,7545,7614,9199,8495,9835,8829,10299,10475,9835,10777,9586,11335,10575,11003,11073,11515,13076,12551,14293,13718,15709,16073,15767,16844,15977,17994,17368,17993,17720,18263,19446,18651,19851,18247,19325,18419,17396,17869,16951,18859,18139,18808,18387,18937,19578,18317,19038,17110,18271,17504,16839,17268,16337,17837
0,8620,8902,9139,9383,10570,10628,10393,10237,10942,10766,10231,9430,10287,10160,9990,10374,9666,11351,11104,10724,11813,10317,11468,11056,9624,10118,8246,8548,9307,8219,8541,9035,8203,9837,9606,8834,9814,8630,9193,10101,9016,9171,9709,8696,10338,10330,9591,10681,9255,10465,10448,9381,10258,8738,10080,10269,9565,10781,9492,11039,11265,10639,11720,10190,11523,11467,10712,11806,10394,11816,11623,10718,11552,9880,11074,10642,9696,10398,9110,10828,9967,10308,10148,10651,11750,10820,11886,10344,11663,11199,10602,11180,10196,11586,10235,10310,9149,9252,9592,8284,9270,7912,9780,9786,9903,10639,9936,11194,9704,9972,8945,9609,9986,8828,9652,7949,9392,8769,8617,8962,8399,9708,8332,8811,7720
0,1995,2465,3433,2716,2956,3198,3900,3423,4342,4558,5402,4469,4426,3832,3722,2198,2466,1076,2556,2515,2053,3219,1851,3419,3807,3087,4107,3424,3393,4479,3360,2864,3402,1874,3222,3598,2723,3467,2882,2492,3798,2864,2451,3482,2043,3173,3588,2476,2956,2470,2618,3907,2844,3561,3068,3510,4950,4189,5038,4318,4539,5411,4213,4966,4317,4865,5871,4831,5606,4638,5008,5735,4379,4835,3704,4168,4871,3798,4849,3896,5356,5740,5236,6318,5111,6664,5461,5144,4694,4522,5852,5190,6649,5694,7164,6999,6192,6877,5711,7495,6718,6988,6486,6331,6945,5657,6686,5412,7079,6898,6412,6978,6057,7742,6745,7199,6538,6917,7780,7091,8445,7172,8835,8366,7658
0,13953,12029,13292,12248,12782,11507,13126,12095,12846,11345,12895,11511,12323,11337,13373,12754,13452,11837,13599,12936,14051,13182,15010,13485,14048,12497,12471,13282,12092,12092,13010,12223,14192,14624,13958,14837,13795,13557,14697,13686,13364,14135,12671,13931,14178,13174,13857,13408,13068,14570,13821,13300,14155,12513,13380,13862,12644,13385,12505,13718,14349,13692,14849,13317,14873,14101,13852,13784,13438,13615,12086,12882,11375,13241,13162,13151,13985,13383,14982,13858,14402,13635,14264,14877,13801,14674,13018,14961,14950,15560,16404,16047,16909,14907,14892,13374,14263,14789,14311,15798,14758,16762,16314,16561,17257,17679,19680,18993,19990,18782,19775,19969,19150,20111,18683,20176,19049,18718,18553,18294,19845,19090,20265,18980,19887
0,11124,10397,11179,10468,10263,10124,8653,9934,8863,9159,7955,9534,8894,9058,8364,9757,9129,9470,8332,9502,8580,8213,7339,9199,8991,9266,9022,9063,10197,9191,8584,9386,7809,8460,9407,8393,8242,8875,7223,8201,8591,7393,7479,7575,6279,7571,7519,6572,7341,7083,6572,8026,7576,6735,7565,6433,6344,7557,6690,6154,7050,5351,6866,6167,5847,6239,5627,7058,5802,6310,4977,5708,6018,5250,6575,5494,7444,6842,6690,6689,6141,7489,6398,7278,6108,7115,7177,6122,6871,5297,6803,5809,5865,5836,5705,6815,5442,6115,4576,5692,5756,5130,6190,5006,6770,5860,5899,5655,5535,6469,5108,5778,4093,5330,5450,5115,6277,5324,7045,5970,6144,5789,6001,7138,6183
0,5204,6558,5279,6293,5024,6685,5626,6746,5415,6866,5424,6328,4997,6455,5018,5425,3972,4939,3620,4594,3683,4616,3498,4482,3222,4528,5205,4377,3906,4480,4035,2819,3666,4366,3642,3037,3692,3994,2854,3643,4806,4434,3760,4225,4976,3729,4060,5289,5067,4134,4154,4883,3543,3274,4418,4404,3388,3214,4140,3404,2973,4346,4935,4199,3887,4694,4289,3226,4144,4864,4182,3607,4213,4393,3149,3872,4897,4355,3505,3776,4323,2907,3190,4462,4319,3536,3746,4706,3550,3328,4465,4416,3371,3115,3889,2987,2360,3543,3969,3151,2877,3793,3578,2673,3705,4459,3705,2967,3417,3533,2243,2988,4113,3730,3066,3492,4098,2720,3048,4352,4272,3531,3764,4766,3677
0,8496,8206,7037,7933,8664,7843,7523,8776,8100,7925,9501,9856,8998,8767,9581,7998,8468,9566,9057,8315,8758,8813,7537,8528,8923,7856,7335,8078,7744,6904,8099,8973,8357,7883,8539,8482,7076,8054,8685,7927,7414,8195,8451,7430,8371,9464,8957,8196,8528,8894,7371,7676,8783,8486,7714,8006,8890,7696,7821,9158,9245,8501,8666,9767,8920,8691,9979,10184,8988,8694,9359,8249,7726,8931,9290,8535,8448,9501,9121,8523,9854,10735,10261,10045,11007,11154,10127,11078,12047,11457,10722,11142,11517,10125,10554,11609,11181,10287,10515,11322,10096,10277,11611,11649,10861,10947,11868,10808,10442,11595,11719,10699,10321,11075,10423,9650,10812,11495,10820,10414,11146,11012,9842,10704,11638
0,4531,5042,3281,4634,3428,4079,2362,3838,2465,3500,2081,3830,2726,3792,2638,4521,3884,2696,3952,3872,4101,3802,5009,4472,3831,4689,3129,3798,4590,3497,3450,4156,2667,3833,4235,3162,3547,3691,2546,3953,3876,2934,3799,3585,3367,5042,4696,4201,5317,4222,4474,5727,4808,4359,5232,3656,4399,5224,4047,4940,3634,4725,4877,4005,4931,3442,5092,4295,4375,4456,4640,5983,5047,6137,4681,6075,6063,5572,6490,5318,6807,5570,5657,5147,5386,6223,5078,6103,4518,5990,5679,5174,5810,4817,6437,5414,5911,5039,5297,5773,4578,5650,4154,5771,5268,4820,5326,4577,6230,5272,6172,5559,6446,7123,6134,7116,5325,6727,6005,5574,5754,5006,6329,5084,5709
0,8586,7285,8255,6598,8313,7172,8415,6948,8732,7367,8136,6504,8229,7196,8567,7347,9181,8005,8410,8105,8814,7784,8356,6716,7882,7872,6734,7128,7571,6612,8075,8244,7187,7629,7536,6443,7991,8416,7759,8567,9006,7927,9196,9168,7824,7865,7813,6262,7305,7379,6176,6418,7016,5891,7303,7834,6832,6962,7354,5875,7271,6021,6092,5339,5186,5684,4199,5126,3733,5447,5444,5215,6127,5129,6727,5495,5655,4653,4808,5412,4354,5552,4097,5821,5457,4975,5404,4364,5614,4101,4384,3301,3884,4621,3965,5528,4565,6717,6514,6550,7006,6543,8200,7345,8606,8090,9629,10610,10341,11883,10767,12923,12798,13286,14044,14183,15791,14738,15775,14796,16183,16572,15840,16585,14735
0,8353,8449,8586,9029,8226,8302,8405,9180,8476,8393,8520,8477,7789,7901,8527,8895,8237,8626,7801,9202,8131,8142,8704,7530,9054,8854,7980,8854,7642,8149,9273,8398,8800,9356,8295,9780,9352,8339,9179,7930,8373,9546,8659,8820,9653,8547,10218,10374,9505,10324,9145,9316,10129,8934,9728,8775,9266,10167,9011,9913,9049,9741,10719,9707,10754,9896,10534,11179,9633,10224,8207,9306,9411,8704,9990,8644,10086,10067,9191,10185,8591,10206,9702,9566,10048,9464,10940,9647,10135,8780,9382,9728,8799,9971,8606,10324,9579,9455,9630,9224,10645,9574,10560,9524,10610,10644,9485,10110,8379,10024,9347,9567,9663,9492,10591,9219,9943,8400,9464,9442,8764,9842,8733,10528,9509
0,11122,10052,10939,9804,11407,10359,11386,9885,11556,10577,12176,11424,13069,11521,12193,10490,12044,10702,11624,9949,11206,9383,9709,7684,8694,9196,8397,8116,9086,8952,8143,9310,10111,9406,8826,9506,9710,8591,9502,10712,10428,9893,10428,11034,9684,10083,11306,11083,10291,10562,11501,10323,10405,11751,11825,10966,10914,11822,10852,10424,11703,12085,11281,11109,12142,11787,11153,12408,13105,12351,11785,12273,11848,10314,10803,11349,10404,9455,9828,10247,8993,9627,10905,10645,9885,10168,10908,9501,9514,10652,10479,9504,9426,10206,9003,8622,9834,10072,9209,9006,9890,9196,8406,9485,9956,9113,8682,9498,9412,8475,9625,10730,10358,10004,10885,11521,10586,11599,13082,13049,12672,13453,14631,13813,14580
0,11514,10481,9927,10825,10529,8511,7450,5561,6021,6298,5073,4154,4432,3696,2519,3566,3957,3145,3078,4139,3618,3167,4702,4788,3865,3966,4742,3244,3114,4286,4227,3281,3489,4498,3458,3852,5178,5047,4055,3948,4656,3390,3117,4434,4719,3910,3817,4777,4033,3353,4467,4872,3970,3519,4287,4076,3148,4263,5249,4742,4254,4879,5081,3692,4194,5117,4506,3610,3927,4607,3339,3759,5248,5347,4710,5015,6049,4970,4846,6123,6253,5316,5099,5923,5075,4458,5628,6086,5269,4888,5655,5291,4191,5016,5596,4711,3951,4509,4795,3687,4491,5591,5146,4373,4642,5097,3590,3834,5158,5182,4578,4951,6026,5001,4968,6188,6141,5053,4822,5722,4927,4473,5811,6372,5599
0,10646,9122,10746,9488,10355,9137,10802,9652,10867,9757,11532,10414,11178,9741,11132,10265,10000,10782,9285,10545,10548,9322,10245,8857,10285,10634,9680,10547,9715,9615,10960,10092,9913,10829,9580,11121,11571,10757,11584,11035,10785,12186,11357,10839,11422,9364,9943,8923,7095,7154,4819,5503,4723,3533,4469,3124,5051,5550,5377,6611,5040,6345,5895,5062,6131,4885,6711,6697,6368,6868,5807,7305,6316,6075,6345,5338,6748,5484,5769,4814,5225,5856,4887,6100,4779,6603,6371,6282,6960,6370,7948,6807,7418,6604,7338,7743,6567,7488,5929,7628,7173,7065,7332,6766,8044,6841,7647,6593,7807,8486,7966,9205,7782,9196,8013,7475,7280,6795,8163,7123,8059,6882,7960,8052,7203
0,10334,10577,10073,10641,10262,10128,8810,9686,8414,8685,7534,9391,8784,9052,8340,9755,8997,9330,8275,9667,9636,9772,9450,10836,10982,10833,11090,10987,11993,10849,10736,11212,9929,11311,11166,10200,11117,10209,10456,11836,10990,10907,11754,10443,12034,12494,11787,12832,12476,12431,13935,13121,12816,13661,12167,13453,13848,12881,13494,12888,12573,13726,12594,13734,12936,14746,15410,15223,16747,15938,18017,17395,17510,17109,16795,17773,16632,17950,17162,19234,19884,19801,21138,20298,22309,21649,22198,22290,22879,24222,23380,24470,22832,24123,23699,23131,23696,22714,24528,23770,24505,23877,24361,24667,23582,24586,23112,24768,24481,24327,24633,24152,24805,24278,24772,23893,24627,24772,24181,24810,23462,24805,24647,24815,24811
0,15250,13882,14632,13366,13643,13719,12738,14915,14828,13551,14241,13415,12511,11963,12477,12475,12150,12182,12337,12909,12395,12566,12325,13330,12116,12161,12286,10819,11884,11198,9990,10760,9587,10019,11361,10501,10517,11306,9990,11427,11467,10368,10898,9712,9273,10428,9551,9361,10420,9101,10443,10795,9676,10141,9538,8828,10125,8793,9436,8811,9656,10386,9460,10515,8846,10337,9526,8994,9158,8383,10051,9303,10425,9717,10612,10597,9025,9476,7560,9108,8434,8093,8176,7356,8596,7412,8130,6803,7699,7910,7180,8320,7221,8903,7690,7809,7167,7184,7844,6489,7449,5982,7611,7625,7206,7787,6408,7689,6295,6460,5834,6305,7381,6565,7719,6729,7530,8332,7179,8064,6908,7683,8511,7583,8762
0,7597,8310,7618,8769,7872,9157,9298,11783,12221,13956,14273,15645,14933,15868,15165,15130,16091,14321,15897,14449,15035,13287,14813,13627,14077,12979,14154,14688,13694,14321,14034,13407,14823,14151,13629,14682,13212,14120,14823,13740,14161,14413,13674,15370,15016,14282,15360,14106,14769,15916,14971,15123,15694,14536,16096,16053,15227,16166,15037,15424,16477,15750,17524,16918,19348,18945,19278,19108,18996,19909,18582,19610,18323,19860,20100,19683,20387,18677,19751,18154,17893,17425,17591,18722,17677,18860,17645,19369,19417,18932,19590,18140,19387,17877,17611,16408,15929,16143,14410,14881,12761,13827,13379,12767,13525,12425,13845,1